,parent_folder,text,filename
19,2040B ,H# LARGE NUMBERS OF H# BAREFOOT H# NATIVES OR SOMETHING H# NOT IN A H#,sw2040B-ws96-i-0023
20,2041A ,H# YEAH WOULD_THAT WE COULD H#,sw2041A-ws96-i-0027
21,2041B ,AND_# YOU KNOW h# ANYTHING DEALING WITH SPORTS h#,sw2041B-ws96-i-0015
22,2051B ,H# I'VE FORMULATED A PRETTY RADICAL H# THEORY H#,sw2051B-ws96-i-0024
23,2051B ,H# THAT WILL H#,sw2051B-ws96-i-0087
24,2051B ,H# FOR ANY REASON H#,sw2051B-ws96-i-0118
25,2053A ,H# OH WOW H# NO I JUST STARTED ABOUT H#,sw2053A-ws96-i-0055
26,2053B ,H# I LIKE THOSE THOSE ARE PRETTY H#,sw2053B-ws96-i-0085
27,2055A ,h# DO SOME GARDENING AND h#,sw2055A-ws96-i-0010
28,2055A ,H# CROSS STITCH H#,sw2055A-ws96-i-0026
29,2057A ,h# WE'D JUST PLAY UP THE FACT THAT h#,sw2057A-ws96-i-0088
30,2062A ,H# WELL H# WHAT ? H#,sw2062A-ws96-i-0001
31,2062A ,H# AND I SUPPOSE IF H#,sw2062A-ws96-i-0018
32,2062A ,h# WHAT h# THAT'S h# EXACTLY WHAT'S HAPPENING IN MY FAMILY_#,sw2062A-ws96-i-0044
33,2064A ,H# IT'S REALLY SAD H#,sw2064A-ws96-i-0020
34,2064A ,H# THAN H# EXPECTING H#,sw2064A-ws96-i-0023
35,2064A ,h# DO h# GET KILLED h#,sw2064A-ws96-i-0047
36,2064A ,h# WHICH SEEMS SO AWFUL h#,sw2064A-ws96-i-0056
37,2064B ,H# SOME OF THE CRIMES ARE JUST SO H# BRUTAL AND SO YOU KNOW USELESS H#,sw2064B-ws96-i-0060
38,2065A ,H# OR IT CAN BE H#,sw2065A-ws96-i-0043
39,2065A ,h# YEAH RIGHT h#,sw2065A-ws96-i-0053
40,2065A ,H# YOU KNOW AND ONE H#,sw2065A-ws96-i-0085
41,2065A ,H# ELEPHANT FOOT SOUP YOU KNOW IT'S H# EASY TO DO ONCE YOU FIND A ELEPHANT FOOT H#,sw2065A-ws96-i-0095
42,2071B ,H# TO H# THINK ABOUT WHEN YOU'RE TRYING TO MAKE THAT DECISION H#,sw2071B-ws96-i-0036
43,2071B ,H# MERCEDES AND H#,sw2071B-ws96-i-0043
44,2073B ,H# AND WHEN THINGS START H# WHEN WHEN ABORTION COMES ON THE ISSUES THEN PEOPLE JUST GO ALL ?_#,sw2073B-ws96-i-0025
45,2073B ,H# THE PRESSURE THAT LOBBYISTS CAN PUT H#,sw2073B-ws96-i-0044
46,2073B ,H# NO I CAN'T HEAR THEM H#,sw2073B-ws96-i-0070
47,2078B ,H# OH H# WHAT'S HE TEACH_#,sw2078B-ws96-i-0055
48,2078B ,H# IS THAT A TOUGH SYSTEM TO BE IN H#,sw2078B-ws96-i-0059
49,2079B ,H# I'M PRESENTLY LIVING IN A HOUSE H# FIRST TIME H#,sw2079B-ws96-i-0002
50,2085B ,H# YOU KNOW THE MAIN THINGS THAT I LIKE ABOUT H# THE H#,sw2085B-ws96-i-0013
51,2085B ,h# YOU KNOW DO A LITTLE BIT BETTER RESEARCH ON WHO GETS HIRED h#,sw2085B-ws96-i-0044
52,2085B ,h# KIDS h# TWENTY YEARS OLD h#,sw2085B-ws96-i-0079
53,2086A ,H# VEGETABLE_OIL BUT I WILL USE PEANUT H# PEANUT OIL OR THINGS H# AND THEN WE JUST_STIR FRY BROCCOLI_AND CARROTS AND H# GREEN PEPPERS AND H#,sw2086A-ws96-i-0023
54,2089A ,H# YEAH HE'S H# HE'S ABOUT MY FAVORITE H#,sw2089A-ws96-i-0069
55,2092B ,H# YEAH H# TALK TOO LONG H#,sw2092B-ws96-i-0013
56,2092B ,H# SORT OF WE'RE PROBABLY LIKE MOST H#,sw2092B-ws96-i-0042
57,2093A ,H# LAST YEAR H#,sw2093A-ws96-i-0053
58,2094A ,H# MY WORD H#,sw2094A-ws96-i-0011
59,2094B ,H# HOW ABOUT INVESTING IN THE SUN WELL NOBODY WANTS TO PAY TWENTY FIVE CENTS A KILOWATT HOUR H#,sw2094B-ws96-i-0044
60,2095B ,H# IT WAS YOU_! KNOW IN THE SEVENTIES OUT HERE AND H#,sw2095B-ws96-i-0011
61,2101A ,H# MMHMM AND WE DON'T WANT OUR KIDS TO H#,sw2101A-ws96-i-0088
62,2101B ,H# I CAN'T THINK OF THE NAME OF THE ONE THAT HAS THE H# MILITARY H#,sw2101B-ws96-i-0025
63,2101B ,RIGHT I AGREE H#,sw2101B-ws96-i-0069
64,2102B ,H# OH THAT WOULD BE A SHAME_#,sw2102B-ws96-i-0030
65,2105A ,H# AND I THINK H#,sw2105A-ws96-i-0010
66,2110B ,H# THAT H#,sw2110B-ws96-i-0056
67,2110B ,H# HOW DID I GET INTO IT OH I'M A ELECTRICAL ENGINEER H#,sw2110B-ws96-i-0080
68,2110B ,H# NO THEY I'M IN A TELECOMMUNICATIONS COMPANY AND THEY H# H# SENT IT OUT IN OUR H# BULK MAIL SO THAT IF ANY H#,sw2110B-ws96-i-0083
69,2113A ,H# I MEAN LIKE KEVIN COSTNER DID ALL OF HIS OWN H#,sw2113A-ws96-i-0067
70,2122A ,AND_# THEN GO BACK h# AND SEE IF THAT WORKED OR NOT_#,sw2122A-ws96-i-0068
71,2124B ,h# AND SO h#,sw2124B-ws96-i-0007
72,2124B ,H# WITH ALL THE H#,sw2124B-ws96-i-0023
73,2130B ,H# ONE GROUP OF THEM H#,sw2130B-ws96-i-0096
74,2130B ,h# I MEAN THAT'S ABSOLUTELY UNPRECEDENTED h# THAT WAS h#,sw2130B-ws96-i-0106
75,2137B ,H# THE DRAFT H# THAT THEY SHOULD DRAFT WOMEN AS H# QUICKLY AS THEY DO THE MEN H#,sw2137B-ws96-i-0025
76,2139B ,H# WHICH I THINK H# IS A H# IS H# AN INVASION OF PRIVACY H#,sw2139B-ws96-i-0031
77,2139B ,H# I GET H# MAIL_#,sw2139B-ws96-i-0072
78,2145A ,H# YOU KNOW THEY'RE H#,sw2145A-ws96-i-0055
79,2145B ,H# WELL I GUESS I WOULD H# FIRST IDENTIFY MYSELF AS H# MIDDLE AGED AND THEREFORE H#,sw2145B-ws96-i-0001
80,2145B ,H# SO ? I AM H# VERY AWARE OF H#,sw2145B-ws96-i-0086
81,2149A ,H# ORGANIZATION TO DO THERE WAS BIG BROTHER BIG SISTER H#,sw2149A-ws96-i-0088
82,2149B ,H# YOU KNOW LIKE THE H# SHELTERS AND H#,sw2149B-ws96-i-0010
83,2154B ,H# FILL INS YOU KNOW H#,sw2154B-ws96-i-0060
84,2154B ,H# HERE'S WHAT WENT ON IN ASIA H#,sw2154B-ws96-i-0076
85,2157A ,H# OKAY H# I THINK I DID KNOW THAT H#,sw2157A-ws96-i-0014
86,2157A ,H# BACK WHEN THEY WERE IN SAINT LOUIS_#,sw2157A-ws96-i-0096
87,2158A ,H# WELL I I GOT A STOPWATCH HERE H#,sw2158A-ws96-i-0042
88,2160A ,H# YEAH H# THERE'S H# UM THERE'S A A SONG THAT I KNOW WHICH SAYS YOU KNOW H#,sw2160A-ws96-i-0042
89,2171B ,H# WELL YOU KNOW H# I KNOW AMERICAN EXPRESS H# I'M NOT_#,sw2171B-ws96-i-0050
90,2171B ,H# IN THE COLLEGE H#,sw2171B-ws96-i-0070
91,2171B ,H# PEOPLE GET OLDER H# THEY'LL DO SOMETHING LIKE THAT H#,sw2171B-ws96-i-0080
92,2172A ,YEAH,sw2172A-ws96-i-0056
93,2181A ,H# YEAH THEY LEAVE H# THEY LEAVE SOME SONGS WITH YOU THEY LEAVE,sw2181A-ws96-i-0117
94,2184A ,H# I MEAN H# YOU KNOW THERE'S ALL KINDS OF H#,sw2184A-ws96-i-0077
95,2184B ,H# YOU KNOW H#,sw2184B-ws96-i-0075
96,2185B ,H# WE'VE LEARNED WE'RE WE UH,sw2185B-ws96-i-0021
97,2187A ,H# THAT'S WHY I DO THAT,sw2187A-ws96-i-0119
98,2190A ,H# NO H# OKAY YEAH_#,sw2190A-ws96-i-0017
99,2190A ,H# YEAH H#,sw2190A-ws96-i-0051
100,2191A ,H# BUT I LIKE TO H#,sw2191A-ws96-i-0028
101,2197B ,H# I'D I'D ENCOURAGE IT H#,sw2197B-ws96-i-0002
102,2197B ,H# HERE IN CENTRAL NEW YORK IS H#,sw2197B-ws96-i-0039
103,2197B ,H# THAT'S ANOTHER H#,sw2197B-ws96-i-0092
104,2197B ,H# I THINK I'VE EVER RUN IN TO INTO,sw2197B-ws96-i-0105
105,2197B ,H# EVER CONSIDER H#,sw2197B-ws96-i-0155
106,2205A ,H# WELL NOT IN THE MORNING BUT H#,sw2205A-ws96-i-0007
107,2205A ,H# AND I LIKE H# DIFFERENT H#,sw2205A-ws96-i-0053
108,2226B ,H# JUDITH KRANTZ H#,sw2226B-ws96-i-0074
109,2226B ,H# WHEN THEY MAKE THEM INTO MOVIES H#,sw2226B-ws96-i-0104
110,2226B ,H# SHOOT THAT ONE THAT WROTE H# WUTHERING HEIGHTS_#,sw2226B-ws96-i-0154
111,2227A ,H# WE GOT DUKE IN NORTH CAROLINA H#,sw2227A-ws96-i-0065
112,2227A ,H# BECAUSE BY H# THE PLAY TIME IS H#,sw2227A-ws96-i-0076
113,2227B ,H# TWILIGHT ZONE RULES H#,sw2227B-ws96-i-0010
114,2233A ,H# AND H# IT'S ALWAYS OCCURRED TO ME THAT THAT H#,sw2233A-ws96-i-0044
115,2233A ,H# SO H# I HAVE SOME BIAS IN THIS H#,sw2233A-ws96-i-0046
116,2234A ,H# AND THAT'S NOT FAIR H#,sw2234A-ws96-i-0034
117,2234A ,H# THEY WOULDN'T BE ABLE TO ENJOY ? H#,sw2234A-ws96-i-0074
118,2237B ,H# AND STUFF LIKE THAT H#,sw2237B-ws96-i-0017
119,2241A ,H# THAT EVEN H# YOU KNOW PRUNING ONCE A YEAR IS REALLY NOT ENOUGH H# BUT THE THE WAY THEY BEHAVE H#,sw2241A-ws96-i-0065
120,2241A ,H# BUT H# BUT THE RYE DOES REALLY WELL H# ESPECIALLY DURING THE WINTERTIME H#,sw2241A-ws96-i-0077
121,2241B ,H# AND THEN IT'S SOLID ROCK FROM THEN ON DOWN SO H#,sw2241B-ws96-i-0021
122,2241B ,H# IN FACT H# WE EVEN H# WE WERE AT THE FARMERS MARKET YESTERDAY H# AND BOUGHT A FEW TOMATO PLANTS AND THINGS LIKE THAT_#,sw2241B-ws96-i-0043
123,2244B ,H# IT WOULD BE INTERESTING TO EAT SOME OF THE MIDDLE EASTERN COOKING ? H#,sw2244B-ws96-i-0051
124,2249A ,H# THEY DON'T MASH H#,sw2249A-ws96-i-0083
125,2252B ,AND H#,sw2252B-ws96-i-0081
126,2252B ,H# RATHER THAN ONE H#,sw2252B-ws96-i-0127
127,2253A ,H# SOME OF THE NORTHERN H#,sw2253A-ws96-i-0032
128,2253B ,H# AT ALL H#,sw2253B-ws96-i-0115
129,2254A ,H# THEY'LL H# THEY'LL PUT IT WITH JUST H# MY WIFE LOVES_1 OLD BAY WITH EVERYTHING H# SO IF WE HAVE FRENCH FRIES THEY HAVE H#,sw2254A-ws96-i-0068
130,2259A ,H# AND H# HAVE BEEN IN THIS COUNTRY FOR H#,sw2259A-ws96-i-0014
131,2259A ,H# ANY H#,sw2259A-ws96-i-0018
132,2259A ,H# OR H# OR H#,sw2259A-ws96-i-0020
133,2259B ,H# IMMIGRATE TO THIS COUNTRY WE H# CUT THAT BY H# TWO THIRDS SO H#,sw2259B-ws96-i-0051
134,2260A ,H# AND H# I THOUGHT OF THOSE TWO THINGS WHEN I WAS H# I WAS H# HOLDING FOR A LONG TIME H#,sw2260A-ws96-i-0043
135,2260B ,H# OKAY H#,sw2260B-ws96-i-0001
136,2262B ,H# WE JUST_# H# WE DO NOT WANT IT H#,sw2262B-ws96-i-0008
137,2262B ,H# ? YELLOW STONE PARK_#,sw2262B-ws96-i-0051
138,2263B ,H# YEAH H# YOU CAN GET H#,sw2263B-ws96-i-0027
139,2265A ,H# WE HAVE A ONE YEAR OLD HOUSE SO IT'S KIND OF HARD SOMETIMES TO WATCH T V DURING H# DURING THE NIGHT BUT I USUALLY TRY TO CATCH THE TEN O'CLOCK H#,sw2265A-ws96-i-0015
140,2265A ,H# YES BUT WHEN IT CAME TO THE WAR ISSUES IT WAS LIKE WHO'S TELLING THE TRUTH H#,sw2265A-ws96-i-0022
141,2266B ,H# SURE H# IT WAS FUN_#,sw2266B-ws96-i-0050
142,2267A ,H# AND THAT YOU WOULDN'T CATCH ME H#,sw2267A-ws96-i-0010
143,2278A ,H# REALLY H#,sw2278A-ws96-i-0040
144,2278A ,H# FACILITIES H# IN THE MAJOR LEAGUES H#,sw2278A-ws96-i-0046
145,2279B ,H# IT WAS H#,sw2279B-ws96-i-0075
146,2283B ,WELL_# IT'S YEAH H# IT'S H# IT'S PRIMARILY JUST H# LIKE LANDSCAPING A LITTLE BIT YOU KNOW I'VE GOT H# SOME H# BUSHES AROUND THE H#,sw2283B-ws96-i-0009
147,2285A ,H# IT'S NOT H#,sw2285A-ws96-i-0052
148,2289B ,H# WELL DO YOU DO_YOU DRINK SODA AND SUCH IN ALUMINUM CANS H#,sw2289B-ws96-i-0014
149,2290B ,H# THAT'S_RIGHT I H# I'VE NEVER CAUGHT H#,sw2290B-ws96-i-0065
150,2290B ,H# SOME OF THE H#,sw2290B-ws96-i-0142
151,2292A ,H# WHERE YOU HAVE TO GO TO THEIR H#,sw2292A-ws96-i-0018
152,2293B ,H# IT'S DOING SOME DAMAGE AND_#,sw2293B-ws96-i-0077
153,2302B ,H# I BELIEVE THAT H#,sw2302B-ws96-i-0046
154,2302B ,H# NEED TO GO FACE H# THIS GROUP OF TWENTY FIVE OR A JUDGE H#,sw2302B-ws96-i-0058
155,2308A ,H# SO H#,sw2308A-ws96-i-0006
156,2308B ,H# HIS SECOND WIFE IS THAT HUSSY H#,sw2308B-ws96-i-0037
157,2309B ,H# AND FINES AND THINGS OF THAT NATURE H#,sw2309B-ws96-i-0016
158,2309B ,H# YEAH H# ALTHOUGH I GUESS IT'S H# YOUR_! YOU WANT THEM TO H# REHABILITATE AND BECOME BETTER H# RATHER THAN SITTING IN THERE AND BEING A DRAIN ALL THE TIME H#,sw2309B-ws96-i-0065
159,2311A ,H# LIKE THAT H# THAT BUSINESS_#,sw2311A-ws96-i-0038
160,2311A ,WE_# HAVE TO WEAR POLYESTER SMOCKS_#,sw2311A-ws96-i-0063
161,2311A ,H# AND I READ H# READ MY COURSES,sw2311A-ws96-i-0101
162,2315A ,H# THEY ONLY COME AROUND H#,sw2315A-ws96-i-0038
163,2315A ,H# IT WAS PRETTY MUCH H#,sw2315A-ws96-i-0112
164,2316A ,H# PEOPLE ARE GOING WHOA_#,sw2316A-ws96-i-0078
165,2316B ,H# I SAY WE BECAUSE I LIVE HERE H#,sw2316B-ws96-i-0057
166,2317A ,H# YEAH H#,sw2317A-ws96-i-0118
167,2323B ,H# LESS SUFFERING H#,sw2323B-ws96-i-0039
168,2324A ,H# RIGHT IT IS_#,sw2324A-ws96-i-0043
169,2324B ,H# YOU KNOW FROM ONE SYSTEM TO THE OTHER H#,sw2324B-ws96-i-0025
170,2325A ,H# SO H# SINCE OCTOBER THEN THEY'VE BEEN GOING THERE AND H#,sw2325A-ws96-i-0078
171,2330A ,H# ONE OF THE WEIRDEST THINGS I SAW H# I THINK IT WAS AROUND THIS TIME LAST YEAR H#,sw2330A-ws96-i-0034
172,2331A ,H# TWOSOME OR THREESOME H#,sw2331A-ws96-i-0041
173,2331A ,H# TELL YOU HOW TO DO THAT OR TEACH[YOU]_HOW TO DO THAT OR H#,sw2331A-ws96-i-0044
174,2334A ,H# AND THE BILL WOULD COME IN AND I'D PAY IT H#,sw2334A-ws96-i-0046
175,2334A ,H# SO BY THIS TIME MY CHECKS HAD COME BACK FROM_THE BANK SO I H# MADE A COPY OF THE CHECK THAT THEY HAD CASHED H#,sw2334A-ws96-i-0054
176,2334A ,h# NATURALLY h# THAT'S h# I GOT IN ALL KINDS OF TROUBLE DOING THAT h#,sw2334A-ws96-i-0083
177,2334A ,H# NOT YET_#,sw2334A-ws96-i-0121
178,2334A ,H# P H D IN HUMAN H# FACTORS_#,sw2334A-ws96-i-0144
179,2334B ,H# OH IT'S NATIONAL H#,sw2334B-ws96-i-0076
180,2336B ,H# AND IT'S H#,sw2336B-ws96-i-0010
181,2336B ,H# GET ON A TOPIC THAT H# YOU KNOW YOU ENJOY H#,sw2336B-ws96-i-0132
182,2339A ,H# YEAH THEN YOU HAVE TO GET UP THE NEXT DAY AND MOVE IT ON H#,sw2339A-ws96-i-0075
183,2339B ,H# YEAH H#,sw2339B-ws96-i-0106
184,2340A ,H# AND WE KEEP THINKING ABOUT THAT YOU KNOW H#,sw2340A-ws96-i-0126
185,2342A ,H# OKAY H# WELL WHO_#,sw2342A-ws96-i-0036
186,2342B ,H# I JUST HEARD SOMETHING ABOUT MOVING H# RECENTLY ABOUT MOVING H#,sw2342B-ws96-i-0027
187,2344A ,H# THE ONES IN LIKE THE BALTIC STATES H#,sw2344A-ws96-i-0081
188,2349B ,H# TO GET OUT THERE AND DO H#,sw2349B-ws96-i-0017
189,2350A ,H# YEAH WE'RE NOT FROM TEXAS EITHER H#,sw2350A-ws96-i-0028
190,2350A ,H# AND H#,sw2350A-ws96-i-0044
191,2350A ,H# YEAH OH H# DEFINITELY H#,sw2350A-ws96-i-0067
192,2350A ,HE_# REALLY H# HE WASN'T USED TO THE HEAT AT ALL H#,sw2350A-ws96-i-0114
193,2352A ,H# WORK FOR SO LITTLE MONEY H#,sw2352A-ws96-i-0084
194,2352A ,H# THE POOR TURTLE H#,sw2352A-ws96-i-0105
195,2353B ,H# IT WOULD REALLY H# AND H# I DON'T H#,sw2353B-ws96-i-0038
196,2353B ,H# YOU'RE ENCOURAGED TO DO IT BECAUSE H#,sw2353B-ws96-i-0064
197,2354A ,H# AND IT'S GROWN ON GOOD SOIL HARDLY ANYMORE AND H#,sw2354A-ws96-i-0067
198,2355A ,H# DETECTIVES NOW AND YOU KNOW DIFFERENT H# ROLES H#,sw2355A-ws96-i-0057
199,2355A ,? AND THAT YOU DON'T EVEN SEE OR KNOW ABOUT H#,sw2355A-ws96-i-0071
200,2362A ,H# HE SAYS MY FATHER GAVE IT TO ME H#,sw2362A-ws96-i-0051
201,2362B ,H# BUT I HAD DECIDED H# LONG BEFORE H#,sw2362B-ws96-i-0019
202,2366A ,H# SOME REAL H#,sw2366A-ws96-i-0048
203,2366B ,H# AND THE FACT THAT I FOUND IT H# IT H#,sw2366B-ws96-i-0024
204,2368A ,OH YEAH H# I'VE OWNED H# SEVERAL AND BUILT SEVERAL H#,sw2368A-ws96-i-0028
205,2369A ,H# NOT TOO FAR FROM TURNER FALLS H#,sw2369A-ws96-i-0030
206,2370A ,H# WHEN H# MOM STAYED HOME H#,sw2370A-ws96-i-0011
207,2370A ,H# YEAH H# AT LEAST FOR A LOT OF WOMEN_#,sw2370A-ws96-i-0034
208,2373B ,H# THE GULF AND H#,sw2373B-ws96-i-0080
209,2373B ,H# OKAY H#,sw2373B-ws96-i-0087
210,2373B ,H# THERE ARE NO H# GOOD H#,sw2373B-ws96-i-0147
211,2383B ,H# THAT HAVE THE BIGGEST IMPACT TO OUR WELL BEING H#,sw2383B-ws96-i-0014
212,2386A ,H# UHUH H#,sw2386A-ws96-i-0060
213,2387A ,H# YEAH I UNDERSTAND THAT H#,sw2387A-ws96-i-0008
214,2387B ,H# YEAH THAT'S NICE H# SO H# IS YOUR HUSBAND A SINGER H#,sw2387B-ws96-i-0059
215,2389B ,H# OR MAYBE NOT H# I DON'T KNOW H#,sw2389B-ws96-i-0105
216,2395A ,H# WHERE WHERE ARE YOU H#,sw2395A-ws96-i-0002
217,2397A ,H# OKAY H#,sw2397A-ws96-i-0001
218,2401A ,H# WHAT YEAR MODEL IS IT H#,sw2401A-ws96-i-0022
219,2401A ,H# I SEE H# WELL THAT'S GOOD_TO HEAR H#,sw2401A-ws96-i-0030
220,2403A ,H# MAYBE THAT YOU KNOW H# H#,sw2403A-ws96-i-0044
221,2406A ,H# NO H# NO KIDS H#,sw2406A-ws96-i-0002
222,2406A ,H# EVEN BETTER THAN ROGER RABBIT H#,sw2406A-ws96-i-0004
223,2406B ,H# HUH WHAT'S THAT ABOUT H#,sw2406B-ws96-i-0090
224,2408A ,H# I THINK THEY CAN READ THE H# PRICE TAG ON THE CANS,sw2408A-ws96-i-0116
225,2410A ,H# I DON'T KNOW I JUST H#,sw2410A-ws96-i-0057
226,2416A ,H# NOT A GREAT DEAL OF THAT H#,sw2416A-ws96-i-0024
227,2416A ,H# YEAH ESPECIALLY HERE IN RALEIGH WE GOT SUCH LITTLE BITTY BOWLING ALLEYS H#,sw2416A-ws96-i-0032
228,2417A ,H# WAS H# LIKE A WAITER H# AT ONE OF THE RESTAURANTS THAT H# YOU KNOW LIKE THE MILITARY HAD H#,sw2417A-ws96-i-0075
229,2418A ,H# HE'S NATIONALLY FAMOUS H#,sw2418A-ws96-i-0045
230,2424A ,H# NO NO I DON'T_# I JUST DON'T HAVE ANY H#,sw2424A-ws96-i-0078
231,2424B ,H# AND H# TILL NEXT TIME H#,sw2424B-ws96-i-0120
232,2426B ,H# THAT'S THAT'S THE BIG THING H# YOU KNOW WE STILL GOT [A]LITTLE BIT_OF THE OLD H#,sw2426B-ws96-i-0085
233,2426B ,H# OH H# THIS THING THEY H# THEY GAVE THE GUYS H# THE POWER AND THE MATERIAL AND THE H#,sw2426B-ws96-i-0091
234,2426B ,H# YOU KNOW THE H# THE BUSINESS WITH THE H# THE SHIITES OF ALL PEOPLE YOU KNOW H# IN THE SOUTHERN PART OF THE COUNTRY AND ALSO THE KURDS H#,sw2426B-ws96-i-0095
235,2427A ,H# WHAT TYPE OF LAWN AND GARDEN WORK DO YOU DO H#,sw2427A-ws96-i-0001
236,2427A ,H# THEY'RE PRETTY NEAT LITTLE I'VE NEVER SEEN ONE H#,sw2427A-ws96-i-0101
237,2427B ,H# INSPECT IT AND THE KIDS WANT TO SWING_#,sw2427B-ws96-i-0046
238,2430A ,H# SO IT'S TERRIBLY ENGINEERED H#,sw2430A-ws96-i-0051
239,2430A ,H# TWENTY EIGHT THOUSAND ON IT WHEN I SOLD IT H#,sw2430A-ws96-i-0067
240,2431A ,H# WHEN WE WENT SOMEWHERE H#,sw2431A-ws96-i-0099
241,2432B ,H# THAT'S AN H# DEPARTMENT STORE H#,sw2432B-ws96-i-0057
242,2433B ,H# THAT'S TRUE THEY DO_#,sw2433B-ws96-i-0073
243,2437A ,H# YEAH H#,sw2437A-ws96-i-0008
244,2439B ,H# WERE THE NEW ONES H#,sw2439B-ws96-i-0027
245,2439B ,H# EVENTUALLY H#,sw2439B-ws96-i-0071
246,2439B ,H# SO THAT H# THAT'S KIND OF BEEN THE WAY I'VE DONE H# THINGS IS TO GET H# THINGS THAT ARE NEW AND THEN H# KEEP THEM H# FOREVER H#,sw2439B-ws96-i-0078
247,2442A ,H# MY H# MY WIFE HAS BEEN WORKING WITH THEM H#,sw2442A-ws96-i-0052
248,2442B ,H# I GUESS IT DEPENDS ON THE PERSON DEPENDS ON HOW ?_#,sw2442B-ws96-i-0027
249,2442B ,H# PAINFUL BUT THE H# THE T I H# REC CENTER HAS AN_AEROBICS PROGRAM FOR H# FOR H#,sw2442B-ws96-i-0059
250,2445A ,H# WE JUST MOVED TO A NEW H#,sw2445A-ws96-i-0090
251,2446B ,H# WE H# WE DO HAVE A LITTLE INFORMATION ON IT HERE H# BUT H#,sw2446B-ws96-i-0014
252,2446B ,H# AND U S POLICY AT H# THAT PARTICULAR TIME THERE WAS COURSE MILITARY H#,sw2446B-ws96-i-0030
253,2446B ,H# BRASH UGLY AMERICAN TYPE H#,sw2446B-ws96-i-0095
254,2450A ,H# I JUST THINK H# IT'S BEEN WARM AND IT'S BEEN HOT H# IT_#,sw2450A-ws96-i-0018
255,2451B ,H# A MAJOR INTERNAL PROBLEM H#,sw2451B-ws96-i-0002
256,2453A ,H# NOW ARE AT HOME WITHOUT H# THEIR MOTHERS H#,sw2453A-ws96-i-0047
257,2454A ,H# OH REALLY THAT'S INTERESTING H#,sw2454A-ws96-i-0035
258,2455B ,H# IF IF YOU DECIDE TO GO BACK TO WORK H# THEN H#,sw2455B-ws96-i-0035
259,2455B ,H# YOU KNOW H# CHILD H#,sw2455B-ws96-i-0071
260,2455B ,H# AND YET H#,sw2455B-ws96-i-0084
261,2455B ,H# TO SAY THE LEAST H#,sw2455B-ws96-i-0094
262,2460A ,H# THAT HAVE THE TALENT TO DO H# THE BEST YEARS AND H#,sw2460A-ws96-i-0061
263,2460A ,H# TO H#,sw2460A-ws96-i-0071
264,2460A ,H# AND I THINK THAT'S REALLY WHAT'S BEEN HURTING H# THE H# RANGERS H#,sw2460A-ws96-i-0076
265,2466B ,H# BUT H# I THOUGHT IT WAS REAL INTERESTING H#,sw2466B-ws96-i-0059
266,2466B ,H# CAN'T THINK WHAT HIS NAME IS RIGHT H# RIGHT OFF THE BAT H# THOUGH H#,sw2466B-ws96-i-0103
267,2467A ,H# EXEMPT OR NON EXEMPT H#,sw2467A-ws96-i-0015
268,2467B ,H# IN THE H#,sw2467B-ws96-i-0082
269,2469B ,H# THE VARIETY OF STITCHES AND STUFF IN THAT H# MORE LIKE EMBROIDERY OR SOMETHING H#,sw2469B-ws96-i-0042
270,2472B ,H# AND STRAWBERRIES AND BANANAS AND WHATEVER_! H# FRESH FRUIT YOU WANT H#,sw2472B-ws96-i-0063
